"treatment","block","plot","dbh","ht","density","biomass","lai","dbh2","ht2","dbh_avg","ht_avg"
"HIAL","1","hial1",28.6783783783784,25.6932432432432,285.493827160494,186.348858312401,4.50623133199455,27.0102564102564,26.0113888888889,27.8443173943174,25.8523160660661
"HIAL","2","hial2",26.6108108108108,21.6443243243243,285.493827160494,160.051844746671,4.21150307189291,25.7605263157895,21.9341666666667,26.1856685633001,21.7892454954955
"HIAL","3","hial3",28.9647058823529,23.2902941176471,262.345679012346,159.547447355953,4.2149411293973,28.2529411764706,23.6028125,28.6088235294118,23.4465533088235
"HIAL","4","hial4",24.1105263157895,20.9015789473684,293.20987654321,114.911436343784,3.41467677808544,23.0875,20.8144736842105,23.5990131578947,20.8580263157895
"PEMA","1","pema1",29.1766963519234,21.2027941176471,524.691358024691,243.505952536497,8.20599899098645,29.4811462947459,21.3875,29.3289213233347,21.2951470588235
"PEMA","2","pema2",24.6900474076052,16.4436,385.802469135802,125.174109206141,4.89663837597743,24.3692353031833,16.5852,24.5296413553943,16.5144
"PEMA","3","pema3",26.4184612571857,15.6207692307692,501.543209876543,154.245543612385,6.82204954332865,25.4352496704018,15.7373846153846,25.9268554637937,15.6790769230769
"PEMA","4","pema4",14.6514760552383,10.4863157894737,439.814814814815,46.7042702465453,2.66328019452384,15.0598146425033,10.6638888888889,14.8556453488708,10.5751023391813
"VIKO","1","viko1",28.7888888888889,23.0631481481482,416.666666666667,165.284833769864,5.08025995788589,29.1944444444444,23.1098148148148,28.9916666666667,23.0864814814815
"VIKO","2","viko2",19.8111111111111,14.7927777777778,277.777777777778,40.3938944367859,1.71574682393723,19.9657142857143,15.0765714285714,19.8884126984127,14.9346746031746
"VIKO","3","viko3",25.1949152542373,20.1169491525424,455.246913580247,120.620455955285,4.25333753745917,25.2779661016949,20.0603389830509,25.2364406779661,20.0886440677966
"VIKO","4","viko4",24.7685714285714,20.9537142857143,540.123456790123,147.039330366833,4.9642277418506,24.8710144927536,21.2910294117647,24.8197929606625,21.1223718487395
"VOGU","2","vogu2",35.7098039215686,27.2227450980392,393.518518518519,281.816768819198,7.13168835126527,36.0705882352941,27.2194117647059,35.8901960784314,27.2210784313726
"VOGU","3","vogu3",26.9786885245902,20.3780327868852,470.679012345679,168.166418058136,5.19545220630866,25.2787878787879,19.8850819672131,26.128738201689,20.1315573770492
"VOGU","4","vogu4",35.2854545454545,24.3014545454545,424.382716049383,230.765630897463,7.05583267055138,34.5781818181818,24.4271698113208,34.9318181818182,24.3643121783876
